cancer_code,subtype,symbol,ensembl_gene_id,role,agent,agent_class,phase,treatment_path_tier,line_of_therapy,eligibility_note,indication,rationale,source
PRAD,,CD276,ENSG00000103855,target,enoblituzumab,antibody,phase_2,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,mCRPC,Anti-B7-H3 antibody — neoadjuvant and combination trials,PMID:37012549
PRAD,,CEACAM5,ENSG00000105388,biomarker,,,,,,,,CEA — negatively correlated with AR expression in PRAD; enriched in AR-suppressed / NEPC-trending disease where PSMA is lost,PMID:38782457
PRAD,,CEACAM5,ENSG00000105388,target,labetuzumab govitecan,ADC,phase_2,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,AR-low / NEPC mCRPC,CEACAM5 ADC — basket activity; candidate for AR-suppressed mCRPC where PSMA is low,PMID:28817371
PRAD,,CEACAM5,ENSG00000105388,target,tusamitamab ravtansine,ADC,phase_2,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,CEACAM5+ mCRPC,CEACAM5 ADC extending from NSCLC; trials in AR-low / NE-differentiated mCRPC,PMID:35026412
PRAD,,FAP,ENSG00000078098,biomarker,,,,,,,,Fibroblast activation protein — marks cancer-associated fibroblasts in PRAD stroma; expression **not strongly correlated** with PSMA because it's CAF-origin rather than tumor-cell,PMID:39477498
PRAD,,FAP,ENSG00000078098,target,[68Ga]FAPI-46,radioligand,phase_2,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,mCRPC,FAP-directed PET imaging — detects PSMA-negative / NEPC disease by imaging tumor stroma,PMID:39477498
PRAD,,FAP,ENSG00000078098,target,[177Lu]FAPI-46,radioligand,phase_1,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,mCRPC,FAP-directed radioligand therapy — early-phase trials for PSMA-low or PSMA-refractory mCRPC,PMID:39477498
BRCA,,ESR1,ENSG00000091831,biomarker,,,,,,,,Estrogen receptor — drives endocrine therapy indication; loss / mutation marks endocrine resistance,PMID:24185512
BRCA,,PGR,ENSG00000082175,biomarker,,,,,,,,Progesterone receptor — luminal marker; retained PR favors endocrine sensitivity,PMID:17438091
BRCA,,ERBB2,ENSG00000141736,biomarker,,,,,,,,HER2 — gating biomarker for HER2-targeted agents; IHC/ISH 3+ or FISH-amplified eligible,PMID:29846104
BRCA,,MKI67,ENSG00000148773,biomarker,,,,,,,,Ki-67 proliferation index; prognostic and guides chemo decisions in ER+ disease,PMID:17453008
BRCA,,GATA3,ENSG00000107485,biomarker,,,,,,,,Luminal transcription factor; diagnostic for mammary origin,PMID:24145643
BRCA,,FOXA1,ENSG00000129514,biomarker,,,,,,,,Pioneer factor cooperating with ER; luminal identity,PMID:22713214
BRCA,,BRCA1,ENSG00000012048,biomarker,,,,,,,,Germline/somatic loss drives PARP inhibitor indication,PMID:19553641
BRCA,,BRCA2,ENSG00000139618,biomarker,,,,,,,,Germline/somatic loss drives PARP inhibitor indication,PMID:19553641
BRCA,,ERBB2,ENSG00000141736,target,trastuzumab,antibody,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,HER2+ BRCA,First-in-class anti-HER2 monoclonal; standard backbone for HER2+ disease,PMID:11248153
BRCA,,ERBB2,ENSG00000141736,target,trastuzumab deruxtecan,ADC,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,HER2+ / HER2-low BRCA,Enhertu — expanded approval to HER2-low metastatic breast cancer,PMID:35665782
BRCA,,ERBB2,ENSG00000141736,target,pertuzumab,antibody,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,HER2+ BRCA,Dual HER2 blockade with trastuzumab,PMID:22149875
BRCA,,TACSTD2,ENSG00000184292,target,sacituzumab govitecan,ADC,approved,approved_later_line,later_line_approved,confirm prior therapies and indication-specific eligibility,mTNBC / HR+/HER2-,Trodelvy — Trop-2 ADC approved in mTNBC and HR+/HER2- post-endocrine,PMID:33882206
BRCA,,FOLR1,ENSG00000110195,target,mirvetuximab soravtansine,ADC,phase_3,late_clinical,late_clinical,late-clinical follow-up; confirm trial or local availability,TNBC subsets,Folate receptor alpha ADC in basket trials including TNBC,PMID:31369274
BRCA,,ESR1,ENSG00000091831,target,elacestrant,small_molecule,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,ER+/HER2- ESR1-mut BRCA,Oral SERD approved for ESR1-mutant metastatic ER+ disease,PMID:35584336
BRCA,,PGR,ENSG00000082175,target,,hormone,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,ER+/HER2- BRCA,PR positivity supports endocrine therapy with AI or tamoxifen,
BRCA,,CDK4,ENSG00000135446,target,palbociclib,small_molecule,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,HR+/HER2- BRCA,CDK4/6 inhibitor combined with endocrine therapy,PMID:25524798
BRCA,,CDK6,ENSG00000105810,target,abemaciclib,small_molecule,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,HR+/HER2- BRCA,CDK4/6 inhibitor including adjuvant use,PMID:36493792
LUAD,,EGFR,ENSG00000146648,biomarker,,,,,,,,Activating mutations (exon 19 del / L858R) gate TKI indication; T790M drives osimertinib selection,PMID:15118073
LUAD,,KRAS,ENSG00000133703,biomarker,,,,,,,,G12C targetable; other alleles remain a negative predictor for EGFR TKIs,PMID:40437272
LUAD,,ALK,ENSG00000171094,biomarker,,,,,,,,EML4-ALK fusion — alectinib-eligible,PMID:17625570
LUAD,,ROS1,ENSG00000047936,biomarker,,,,,,,,ROS1 fusion — crizotinib / entrectinib eligible,PMID:22215748
LUAD,,BRAF,ENSG00000157764,biomarker,,,,,,,,V600E mutation — dabrafenib+trametinib eligible,PMID:27283860
LUAD,,RET,ENSG00000165731,biomarker,,,,,,,,RET fusion — selpercatinib / pralsetinib eligible,PMID:32846060
LUAD,,MET,ENSG00000105976,biomarker,,,,,,,,Exon 14 skipping — capmatinib / tepotinib eligible,PMID:39214048
LUAD,,NTRK1,ENSG00000198400,biomarker,,,,,,,,NTRK fusion — larotrectinib / entrectinib eligible (basket),PMID:29466156
LUAD,,CD274,ENSG00000120217,biomarker,,,,,,,,PD-L1 expression gates first-line pembrolizumab monotherapy,PMID:27718847
LUAD,,KEAP1,ENSG00000079999,biomarker,,,,,,,,Co-mutation with STK11 predicts immunotherapy resistance,PMID:29773717
LUAD,,STK11,ENSG00000118046,biomarker,,,,,,,,Loss predicts immunotherapy resistance in KRAS-mutant LUAD,DOI:10.1158/2159-8290.CD-18-0099
LUAD,,NKX2-1,ENSG00000136352,biomarker,,,,,,,,TTF-1 — adenocarcinoma lineage confirmation,PMID:41045728
LUAD,,EGFR,ENSG00000146648,target,osimertinib,small_molecule,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,EGFR-mut LUAD,Third-generation EGFR TKI — frontline and resistance setting,PMID:29151359
LUAD,,ALK,ENSG00000171094,target,alectinib,small_molecule,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,ALK-rearranged LUAD,Second-generation ALK TKI — frontline standard,PMID:28586279
LUAD,,KRAS,ENSG00000133703,target,sotorasib,small_molecule,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,KRAS G12C LUAD,First KRAS G12C inhibitor approved,PMID:40774040
LUAD,,KRAS,ENSG00000133703,target,adagrasib,small_molecule,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,KRAS G12C LUAD,Second KRAS G12C inhibitor,PMID:35658005
LUAD,,BRAF,ENSG00000157764,target,dabrafenib + trametinib,small_molecule,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,BRAF V600E LUAD,BRAF/MEK combination,PMID:27283860
LUAD,,MET,ENSG00000105976,target,capmatinib,small_molecule,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,MET exon 14 LUAD,MET inhibitor for exon 14 skipping,PMID:32877583
LUAD,,RET,ENSG00000165731,target,selpercatinib,small_molecule,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,RET fusion LUAD,Selective RET inhibitor,PMID:32846060
LUAD,,CD274,ENSG00000120217,target,pembrolizumab,antibody,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,PD-L1 high LUAD,Anti-PD-1; first-line for TPS ≥50%,PMID:27718847
LUAD,,CEACAM5,ENSG00000105388,target,tusamitamab ravtansine,ADC,phase_3,late_clinical,late_clinical,late-clinical follow-up; confirm trial or local availability,CEACAM5+ NSCLC,Phase 3 CARMEN-LC03 trial,PMID:41337813
LUAD,,TROP2,ENSG00000184292,target,datopotamab deruxtecan,ADC,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,NSCLC,Dato-DXd approved in advanced/metastatic nsqNSCLC,PMID:39250535
COAD,,KRAS,ENSG00000133703,biomarker,,,,,,,,KRAS wild-type required for EGFR antibody (cetuximab / panitumumab) response,PMID:18316791
COAD,,NRAS,ENSG00000213281,biomarker,,,,,,,,Must be wild-type for EGFR-antibody response; pan-RAS testing standard,PMID:20921462
COAD,,BRAF,ENSG00000157764,biomarker,,,,,,,,V600E — poor prognosis; triple combo encorafenib+cetuximab+MEK eligible,PMID:31566309
COAD,,MLH1,ENSG00000076242,biomarker,,,,,,,,MMR gene — loss indicates MSI-H / dMMR; gates checkpoint IO,PMID:26028255
COAD,,MSH2,ENSG00000095002,biomarker,,,,,,,,MMR gene — loss indicates MSI-H / dMMR; Lynch syndrome relevance,PMID:26028255
COAD,,MSH6,ENSG00000116062,biomarker,,,,,,,,MMR gene — loss indicates MSI-H / dMMR; Lynch syndrome relevance,PMID:26028255
COAD,,PMS2,ENSG00000122512,biomarker,,,,,,,,MMR gene — loss indicates MSI-H / dMMR,PMID:26028255
COAD,,CDX2,ENSG00000165556,biomarker,,,,,,,,Intestinal lineage transcription factor — diagnostic of GI adenocarcinoma,PMID:29519711
COAD,,CEACAM5,ENSG00000105388,biomarker,,,,,,,,CEA — serum / tissue biomarker for colorectal adenocarcinoma,PMID:16100946
COAD,,ERBB2,ENSG00000141736,biomarker,,,,,,,,HER2 amplification — approved indication for trastuzumab combos in RAS WT,PMID:27108243
COAD,,TP53,ENSG00000141510,biomarker,,,,,,,,Prognostic / predictive; mutation common and linked to chemo response,PMID:22810696
COAD,,APC,ENSG00000134982,biomarker,,,,,,,,Gatekeeper driver of adenoma-carcinoma sequence; Wnt pathway activation,PMID:22810696
COAD,,BRAF,ENSG00000157764,target,encorafenib + cetuximab,small_molecule,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,BRAF V600E mCRC,BEACON triplet / doublet for BRAF V600E mCRC,PMID:31566309
COAD,,KRAS,ENSG00000133703,target,sotorasib,small_molecule,approved,approved_later_line,later_line_approved,confirm prior therapies and indication-specific eligibility,KRAS G12C mCRC,Approved in pretreated KRAS G12C mCRC (CodeBreaK 300),PMID:40215429
COAD,,KRAS,ENSG00000133703,target,adagrasib,small_molecule,approved,approved_later_line,later_line_approved,confirm prior therapies and indication-specific eligibility,KRAS G12C mCRC,Approved with cetuximab for pretreated KRAS G12C mCRC,PMID:36546659
COAD,,ERBB2,ENSG00000141736,target,trastuzumab + tucatinib,antibody,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,HER2+ RAS-WT mCRC,MOUNTAINEER trial result; HER2+ mCRC,PMID:41526345
COAD,,EGFR,ENSG00000146648,target,cetuximab,antibody,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,RAS-WT mCRC,Anti-EGFR in RAS/BRAF wild-type mCRC,PMID:19339720
COAD,,EGFR,ENSG00000146648,target,panitumumab,antibody,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,RAS-WT mCRC,Fully human anti-EGFR antibody,PMID:20921462
COAD,,CD274,ENSG00000120217,target,pembrolizumab,antibody,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,MSI-H / dMMR mCRC,Frontline IO in MSI-H / dMMR mCRC (KEYNOTE-177),PMID:33264544
COAD,,CEACAM5,ENSG00000105388,target,labetuzumab govitecan,ADC,phase_2,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,CEACAM5+ mCRC,CEACAM5 ADC in clinical trials,PMID:28817371
SKCM,,BRAF,ENSG00000157764,biomarker,,,,,,,,V600E/K — gates BRAF/MEK inhibition,PMID:22460905
SKCM,,NRAS,ENSG00000213281,biomarker,,,,,,,,Q61 mutations — MEK / ERK-directed trials,PMID:23414587
SKCM,,MITF,ENSG00000187098,biomarker,,,,,,,,Melanocyte lineage transcription factor; amplification in some resistance phenotypes,PMID:28263292
SKCM,,S100B,ENSG00000160307,biomarker,,,,,,,,Serum biomarker for melanoma progression,PMID:33555543
SKCM,,MLANA,ENSG00000120215,biomarker,,,,,,,,Melan-A / MART-1 — melanocyte lineage antigen and TCR target,PMID:8170938
SKCM,,TYR,ENSG00000077498,biomarker,,,,,,,,Tyrosinase — melanocyte lineage antigen,PMID:10752474
SKCM,,PMEL,ENSG00000185664,biomarker,,,,,,,,gp100 — melanocyte antigen; vaccine and TCR target,PMID:10752474
SKCM,,PRAME,ENSG00000185686,biomarker,,,,,,,,Cancer-testis antigen broadly expressed in melanoma; IMCgp100 / PRAME TCR trials,PMID:9047241
SKCM,,CD274,ENSG00000120217,biomarker,,,,,,,,PD-L1 stratifies IO response,PMID:26027431
SKCM,,BRAF,ENSG00000157764,target,dabrafenib + trametinib,small_molecule,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,BRAF V600 melanoma,Standard BRAF/MEK combination in V600-mutant disease,PMID:25399551
SKCM,,BRAF,ENSG00000157764,target,encorafenib + binimetinib,small_molecule,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,BRAF V600 melanoma,COLUMBUS trial combination,PMID:29573941
SKCM,,BRAF,ENSG00000157764,target,vemurafenib,small_molecule,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,BRAF V600 melanoma,First BRAF inhibitor approved for melanoma,PMID:21639808
SKCM,,CD274,ENSG00000120217,target,pembrolizumab,antibody,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,advanced melanoma,First-line anti-PD-1,PMID:25891173
SKCM,,CD274,ENSG00000120217,target,nivolumab,antibody,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,advanced melanoma,First-line anti-PD-1; combined with ipi for high-risk disease,PMID:26027431
SKCM,,CTLA4,ENSG00000163599,target,ipilimumab,antibody,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,advanced melanoma,Anti-CTLA4; combination with nivolumab standard of care,PMID:20525992
SKCM,,LAG3,ENSG00000089692,target,relatlimab,antibody,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,advanced melanoma,LAG-3 + PD-1 combination (nivolumab-relatlimab),PMID:34986285
SKCM,,PRAME,ENSG00000185686,target,IMA203,TCR-T,phase_2,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,advanced melanoma,PRAME-directed TCR-T trials,PMID:40205198
SKCM,,PMEL,ENSG00000185664,target,IMCgp100 / tebentafusp,TCE,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,uveal melanoma,gp100 ImmTAC — approved for HLA-A*02:01 uveal melanoma,PMID:34551229
SKCM,,TYR,ENSG00000077498,target,,TCR-T,preclinical,preclinical,preclinical,preclinical follow-up; not a clinical recommendation,melanoma,Historical tyrosinase TCRs; active cell-therapy research,PMID:31054264
HNSC,,CDKN2A,ENSG00000147889,biomarker,,,,,,,,p16 — elevated in HPV-driven HNSC (surrogate for E6/E7 inactivation),PMID:25631445
HNSC,,EGFR,ENSG00000146648,biomarker,,,,,,,,Overexpression / mutation — cetuximab eligibility,PMID:16467544
HNSC,,CD274,ENSG00000120217,biomarker,,,,,,,,PD-L1 CPS gates first-line pembrolizumab monotherapy or combo,PMID:30509740
HNSC,,CCND1,ENSG00000110092,biomarker,,,,,,,,Cyclin D1 — frequently amplified in HPV-negative HNSC,PMID:26457759
HNSC,,TP53,ENSG00000141510,biomarker,,,,,,,,Mutation common in HPV-negative disease; prognostic,PMID:26457759
HNSC,,PIK3CA,ENSG00000121879,biomarker,,,,,,,,Hotspot mutations prevalent; relevant to PI3K-pathway trials,PMID:25631445
HNSC,,FADD,ENSG00000168040,biomarker,,,,,,,,Amplified in HPV-negative HNSC; linked to resistance signaling,PMID:25631445
HNSC,,EGFR,ENSG00000146648,target,cetuximab,antibody,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,recurrent/metastatic HNSC,Anti-EGFR — combined with chemo or RT,PMID:18784101
HNSC,,CD274,ENSG00000120217,target,pembrolizumab,antibody,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,recurrent/metastatic HNSC,Frontline IO per CPS (KEYNOTE-048),PMID:31679945
HNSC,,CD274,ENSG00000120217,target,nivolumab,antibody,approved,approved_later_line,later_line_approved,confirm prior therapies and indication-specific eligibility,recurrent/metastatic HNSC,Anti-PD-1 post-platinum (CheckMate 141),PMID:27718847
DLBC,,MS4A1,ENSG00000156738,biomarker,,,,,,,,CD20 — lineage for B-cell lymphoma; gates rituximab,PMID:11807147
DLBC,,CD19,ENSG00000177455,biomarker,,,,,,,,B-cell lineage; gates CD19 CAR-T,PMID:29226797
DLBC,,CD79A,ENSG00000105369,biomarker,,,,,,,,BCR complex component; helps confirm B-cell lineage,PMID:1747162
DLBC,,CD79B,ENSG00000007312,biomarker,,,,,,,,BCR complex component; polatuzumab target and ABC-subtype marker,PMID:31693429
DLBC,,BCL6,ENSG00000113916,biomarker,,,,,,,,GCB marker per Hans algorithm,PMID:14504078
DLBC,,MME,ENSG00000196549,biomarker,,,,,,,,CD10 — GCB marker per Hans algorithm,PMID:14504078
DLBC,,IRF4,ENSG00000137265,biomarker,,,,,,,,MUM1 — ABC marker per Hans algorithm,PMID:14504078
DLBC,,MYC,ENSG00000136997,biomarker,,,,,,,,Rearrangement / co-expression marker — double/triple-hit lymphoma,PMID:22851565
DLBC,,BCL2,ENSG00000171791,biomarker,,,,,,,,Rearrangement / high expression — double/triple-hit; BCL2 inhibitor eligibility,PMID:22851565
DLBC,,MS4A1,ENSG00000156738,target,rituximab,antibody,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,DLBCL,Anti-CD20 — backbone of R-CHOP,PMID:12075054
DLBC,,CD19,ENSG00000177455,target,axicabtagene ciloleucel,CAR-T,approved,approved_later_line,later_line_approved,confirm prior therapies and indication-specific eligibility,R/R DLBCL,Anti-CD19 CAR-T (Yescarta),PMID:29226797
DLBC,,CD19,ENSG00000177455,target,tisagenlecleucel,CAR-T,approved,approved_later_line,later_line_approved,confirm prior therapies and indication-specific eligibility,R/R DLBCL,Anti-CD19 CAR-T (Kymriah),PMID:30501490
DLBC,,CD19,ENSG00000177455,target,lisocabtagene maraleucel,CAR-T,approved,approved_later_line,later_line_approved,confirm prior therapies and indication-specific eligibility,R/R DLBCL,Anti-CD19 CAR-T (Breyanzi),PMID:32888407
DLBC,,CD19,ENSG00000177455,target,loncastuximab tesirine,ADC,approved,approved_later_line,later_line_approved,confirm prior therapies and indication-specific eligibility,R/R DLBCL,Anti-CD19 ADC (Zynlonta),PMID:33989558
DLBC,,CD19,ENSG00000177455,target,tafasitamab,antibody,approved,approved_later_line,later_line_approved,confirm prior therapies and indication-specific eligibility,R/R DLBCL,Anti-CD19 with lenalidomide,PMID:32511983
DLBC,,CD79B,ENSG00000007312,target,polatuzumab vedotin,ADC,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,R/R DLBCL / 1L DLBCL,Anti-CD79B ADC; Pola-R-CHP new frontline standard,PMID:31693429
DLBC,,CD22,ENSG00000012124,target,inotuzumab ozogamicin,ADC,phase_2,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,R/R aggressive B-NHL,CD22 ADC extended from ALL to aggressive B-NHL trials,PMID:28677896
DLBC,,CD20,ENSG00000156738,target,glofitamab,TCE,approved,approved_later_line,later_line_approved,confirm prior therapies and indication-specific eligibility,R/R DLBCL,CD20×CD3 bispecific (Columvi),PMID:36507690
DLBC,,CD20,ENSG00000156738,target,epcoritamab,TCE,approved,approved_later_line,later_line_approved,confirm prior therapies and indication-specific eligibility,R/R DLBCL,CD20×CD3 bispecific (Epkinly),PMID:39322711
DLBC,,BCL2,ENSG00000171791,target,venetoclax,small_molecule,phase_2,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,DLBCL,Active trials in double-hit and ABC DLBCL subtypes,PMID:30850381
LAML,,CD33,ENSG00000105383,biomarker,,,,,,,,Myeloid lineage — gates gemtuzumab ozogamicin,PMID:29476018
LAML,,KIT,ENSG00000157404,biomarker,,,,,,,,CD117 — myeloid progenitor marker; D816V mutation in core-binding-factor AML,PMID:41880982
LAML,,FLT3,ENSG00000122025,biomarker,,,,,,,,ITD / TKD mutations — midostaurin / gilteritinib eligibility,PMID:28644114
LAML,,NPM1,ENSG00000181163,biomarker,,,,,,,,Exon 12 mutation — favorable prognosis in CN-AML; menin-inhibitor sensitive,PMID:15659725
LAML,,CEBPA,ENSG00000245848,biomarker,,,,,,,,Biallelic mutation — favorable prognosis,PMID:11242107
LAML,,IDH1,ENSG00000138413,biomarker,,,,,,,,R132 mutation — ivosidenib eligibility,PMID:29860938
LAML,,IDH2,ENSG00000182054,biomarker,,,,,,,,R140/R172 mutation — enasidenib eligibility,PMID:28588020
LAML,,RUNX1,ENSG00000159216,biomarker,,,,,,,,Mutation — adverse prognosis; included in WHO classification,PMID:27069254
LAML,,TP53,ENSG00000141510,biomarker,,,,,,,,Mutation — adverse prognosis; APR-246 trials,PMID:36990622
LAML,,DNMT3A,ENSG00000119772,biomarker,,,,,,,,Mutation — adverse prognosis,PMID:21067377
LAML,,KMT2A,ENSG00000118058,biomarker,,,,,,,,Rearrangement — menin-inhibitor eligibility; adverse prognosis,PMID:39121437
LAML,,MPO,ENSG00000005381,biomarker,,,,,,,,Myeloid granulocytic lineage confirmation (cytochemistry / IHC),PMID:35716019
LAML,,CD33,ENSG00000105383,target,gemtuzumab ozogamicin,ADC,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,CD33+ AML,First ADC approved; combined with chemo in newly diagnosed AML,PMID:30076173
LAML,,FLT3,ENSG00000122025,target,midostaurin,small_molecule,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,FLT3-mut AML,Type I FLT3 inhibitor — newly diagnosed FLT3-mut AML,PMID:28644114
