cohort_id,prefix,kind,source_project,assay,n_samples,n_codes,is_computed,member_cohorts,provenance
TARGET_RT_2017,TARGET,target,TARGET,bulk RNA-seq,63,1,False,,"GDC STAR-Counts, GENCODE v36; Ensembl IDs harmonized to release 112"
TARGET_WT_2015,TARGET,target,TARGET,bulk RNA-seq,125,1,False,,"GDC STAR-Counts, GENCODE v36; Ensembl IDs harmonized to release 112"
TREEHOUSE_POLYA_25_01,TREEHOUSE,treehouse,Treehouse,bulk RNA-seq,1221,26,False,,Treehouse Tumor Compendium 25.01 PolyA (hugo_log2tpm_58581genes_2025-02-27); downloaded from public.gi.ucsc.edu/~ekephart/public-data/; HUGO symbols harmonized to Ensembl release 112; log2(TPM+1) inverse-transformed
TREEHOUSE_POLYA_25_01_MBL_SUBGROUP_MARKERS,TREEHOUSE,treehouse,Treehouse,bulk RNA-seq,125,4,False,,Treehouse Tumor Compendium 25.01 PolyA MBL samples × simplified marker-gene subgroup classifier (WIF1 / GLI2 / MYC / KCNA1 max-TPM); aggregate reference summaries only — no released per-sample matrix / representative / percentile artifacts
TREEHOUSE_POLYA_25_01_TCGA_BRCA_PAM50,TREEHOUSE,treehouse,TCGA (Treehouse-reprocessed),bulk RNA-seq,984,5,False,,Treehouse Tumor Compendium 25.01 PolyA TCGA-BRCA samples × cBioPortal brca_tcga_pan_can_atlas_2018 PAM50 calls (Hoadley 2018 PMID 29625050); HUGO symbols harmonized to Ensembl release 112; log2(TPM+1) inverse-transformed
TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI,TREEHOUSE,treehouse,TCGA (Treehouse-reprocessed),bulk RNA-seq,361,4,False,,Treehouse 25.01 PolyA TCGA-COAD/READ × cBioPortal coadread_tcga_pan_can_atlas_2018 MSIsensor score (>=10 = MSI-H)
TREEHOUSE_POLYA_25_01_TCGA_HNSC_HPV,TREEHOUSE,treehouse,TCGA (Treehouse-reprocessed),bulk RNA-seq,487,2,False,,Treehouse Tumor Compendium 25.01 PolyA TCGA-HNSC samples × cBioPortal hnsc_tcga_pan_can_atlas_2018 HPV calls (Cao 2016 PMID 27568064); HUGO symbols harmonized to Ensembl release 112; log2(TPM+1) inverse-transformed
TREEHOUSE_POLYA_25_01_TCGA_LUAD_MUT,TREEHOUSE,treehouse,TCGA (Treehouse-reprocessed),bulk RNA-seq,362,3,False,,Treehouse Tumor Compendium 25.01 PolyA TCGA-LUAD samples × cBioPortal luad_tcga_pan_can_atlas_2018 mutation calls; HUGO symbols harmonized to Ensembl release 112; log2(TPM+1) inverse-transformed
TREEHOUSE_POLYA_25_01_TCGA_SARC_HISTOLOGY,TREEHOUSE,treehouse,TCGA (Treehouse-reprocessed),bulk RNA-seq,53,2,False,,"Treehouse Tumor Compendium 25.01 PolyA, TCGA-SARC histology split via GDC primary_diagnosis lookup; HUGO symbols harmonized to Ensembl release 112; log2(TPM+1) inverse-transformed"
TREEHOUSE_POLYA_25_01_TCGA_STAD_SUBTYPE,TREEHOUSE,treehouse,TCGA (Treehouse-reprocessed),bulk RNA-seq,374,4,False,,Treehouse 25.01 PolyA TCGA-STAD × cBioPortal stad_tcga_pan_can_atlas_2018 SUBTYPE (TCGA 2014)
TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,TREEHOUSE,treehouse,TCGA (Treehouse-reprocessed),bulk RNA-seq,9543,33,False,,"Treehouse Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (hugo_log2tpm_58581genes_2025-02-27); downloaded from public.gi.ucsc.edu/~ekephart/public-data/; HUGO symbols harmonized to Ensembl release 112; log2(TPM+1) inverse-transformed"
TREEHOUSE_POLYA_25_01_TCGA_UCEC_SUBTYPE,TREEHOUSE,treehouse,TCGA (Treehouse-reprocessed),bulk RNA-seq,172,4,False,,Treehouse 25.01 PolyA TCGA-UCEC × cBioPortal ucec_tcga_pan_can_atlas_2018 SUBTYPE (Kandoth 2013)
TREEHOUSE_RIBOD_25_01,TREEHOUSE,treehouse,Treehouse,bulk RNA-seq,18,2,False,,Treehouse Tumor Compendium 25.01 RiboDeplete (hugo_log2tpm_58581genes_2025-03-19); downloaded from public.gi.ucsc.edu/~ekephart/public-data/; HUGO symbols harmonized to Ensembl release 112; log2(TPM+1) inverse-transformed
SCLC_UCOLOGNE_2015,SCLC,ucologne,University of Cologne,bulk RNA-seq,81,1,False,,"SCLC UCologne 2015 (George 2015, PMID 26168399) RNA-seq FPKM from cBioPortal datahub sclc_ucologne_2015; FPKM → TPM by per-sample sum-to-1e6; HUGO symbols harmonized to Ensembl release 112"
SCLC_UCOLOGNE_2015_TF_DOMINANCE,SCLC,ucologne,University of Cologne,bulk RNA-seq,81,4,False,,SCLC UCologne 2015 FPKM (George 2015 PMID 26168399) × TF-dominance subtype assignment (max TPM of ASCL1 / NEUROD1 / POU2F3 / YAP1 per sample)
UNC_NUTM1,UNC,unc,UNC NUTM1 case series,bulk RNA-seq,3,1,False,,UNC NUTM1 case series; whole-transcriptome RNA-seq gene-level TPM; Ensembl release 112
